Close_x,drop_percent_x,Close_y,drop_percent_y,day
3900.25,-42.07,,,445
3925.2,-41.7,,,446
3898.85,-42.09,,,447
3762.91,-44.11,,,448
3926.14,-41.68,,,449
3955.61,-41.25,,,450
4124.97,-38.73,,,451
4029.67,-40.15,,,452
3993.54,-40.68,,,453
3930.52,-41.62,,,454
3925.52,-41.69,,,455
3983.71,-40.83,,,456
3983.71,-40.83,,,457
3988.99,-40.75,,,458
3968.4,-41.06,,,459
4052.98,-39.8,,,460
4092.8,-39.21,,,461
3990.86,-40.72,,,462
3987.46,-40.77,,,463
4030.66,-40.13,,,464
4018.23,-40.32,,,465
4155.99,-38.27,,,466
4167.01,-38.11,,,467
4096.4,-39.15,,,468
4189.59,-37.77,,,469
4243.71,-36.97,,,470
4243.22,-36.97,,,471
4336.94,-35.58,,,472
4396.49,-34.7,,,473
4398.68,-34.66,,,474
4462.09,-33.72,,,475
4435.5,-34.12,,,476
4425.54,-34.27,,,477
4331.37,-35.66,,,478
4362.58,-35.2,,,479
4348.11,-35.42,,,480
4446.45,-33.95,,,481
4482.25,-33.42,,,482
4468.41,-33.63,,,483
4345.47,-35.45,,,484
4365.29,-35.16,,,485
4411.72,-34.47,,,486
4416.23,-34.4,,,487
4387.54,-34.83,,,488
4417.94,-34.38,,,489
4506.19,-33.07,,,490
4477.02,-33.5,,,491
4383.42,-34.89,,,492
4386.94,-34.84,,,493
4438.56,-34.07,,,494
4405.22,-34.57,,,495
4404.79,-34.57,,,496
4436.75,-34.1,,,497
4461.87,-33.73,,,498
4441.95,-34.02,,,499
4326.01,-35.74,,,500
4328.57,-35.71,,,501
4278.46,-36.45,,,502
4280.86,-36.41,,,503
4345.93,-35.45,,,504
4234.05,-37.11,,,505
4230.02,-37.17,,,506
4279.98,-36.43,,,507
4252.57,-36.83,,,508
4241.01,-37.01,,,509
4294.03,-36.22,,,510
4249.21,-36.88,,,511
4340.71,-35.53,,,512
4234.27,-37.11,,,513
4236.28,-37.08,,,514
4194.91,-37.69,,,515
4187.0,-37.81,,,516
4140.23,-38.5,,,517
4158.66,-38.23,,,518
4127.17,-38.7,,,519
4202.13,-37.58,,,520
4237.68,-37.06,,,521
4346.46,-35.44,,,522
4361.84,-35.21,,,523
4388.75,-34.81,,,524
4443.62,-34.0,,,525
4481.17,-33.44,,,526
4493.73,-33.25,,,527
4559.8,-32.27,,,528
4576.61,-32.02,,,529
4586.13,-31.88,,,530
4528.84,-32.73,,,531
4547.53,-32.45,,,532
4631.61,-31.2,,,533
4608.36,-31.55,,,534
4682.46,-30.45,,,535
4665.39,-30.7,,,536
4647.13,-30.97,,,537
4690.53,-30.33,,,538
4731.56,-29.72,,,539
4722.2,-29.86,,,540
4671.34,-30.61,,,541
4716.76,-29.94,,,542
4755.46,-29.36,,,543
4713.97,-29.98,,,544
4645.01,-31.01,,,545
4685.78,-30.4,,,546
4689.67,-30.34,,,547
4756.58,-29.35,,,548
4850.89,-27.95,,,549
4896.23,-27.27,,,550
4916.8,-26.97,,,551
4890.58,-27.36,,,552
4869.35,-27.67,,,553
4908.9,-27.09,,,554
4819.7,-28.41,,,555
4817.55,-28.44,,,556
4796.75,-28.75,,,557
4851.7,-27.94,,,558
4933.18,-26.72,,,559
4947.34,-26.51,,,560
5004.3,-25.67,,,561
4987.68,-25.92,,,562
5011.47,-25.56,,,563
5018.85,-25.45,,,564
5042.13,-25.11,,,565
5124.13,-23.89,,,566
5163.95,-23.3,,,567
5172.89,-23.16,,,568
5134.36,-23.74,,,569
5142.6,-23.61,,,570
5139.37,-23.66,,,571
5079.27,-24.55,,,572
5082.2,-24.51,,,573
5165.7,-23.27,,,574
5159.72,-23.36,,,575
5133.9,-23.74,,,576
5047.81,-25.02,,,577
4988.7,-25.9,,,578
5024.33,-25.37,,,579
5137.98,-23.68,,,580
5108.9,-24.11,,,581
5154.64,-23.44,,,582
5161.87,-23.33,,,583
5210.17,-22.61,,,584
5154.15,-23.44,,,585
5256.1,-21.93,,,586
5222.95,-22.42,,,587
5190.24,-22.91,,,588
5281.54,-21.55,,,589
5243.4,-22.12,,,590
5257.85,-21.9,,,591
5207.36,-22.65,,,592
5242.57,-22.13,,,593
5191.74,-22.88,,,594
5200.97,-22.75,,,595
5080.42,-24.54,,,596
5137.72,-23.69,,,597
5044.55,-25.07,,,598
5104.5,-24.18,,,599
5037.21,-25.18,,,600
5107.89,-24.13,,,601
5125.64,-23.87,,,602
5142.72,-23.61,,,603
5235.18,-22.24,,,604
5230.55,-22.31,,,605
5266.75,-21.77,,,606
5276.5,-21.63,,,607
5296.38,-21.33,,,608
5382.67,-20.05,,,609
5345.93,-20.59,,,610
5342.13,-20.65,,,611
5267.7,-21.76,,,612
5251.41,-22.0,,,613
5355.5,-20.45,,,614
5323.96,-20.92,,,615
5364.81,-20.31,,,616
5194.13,-22.85,,,617
5245.73,-22.08,,,618
5190.68,-22.9,,,619
5312.17,-21.1,,,620
5327.39,-20.87,,,621
5313.0,-21.08,,,622
5322.36,-20.94,,,623
5310.66,-21.12,,,624
5223.13,-22.42,,,625
5203.89,-22.7,,,626
5244.37,-22.1,,,627
5261.57,-21.85,,,628
5315.34,-21.05,,,629
5285.77,-21.49,,,630
5320.26,-20.98,,,631
5217.61,-22.5,,,632
5196.81,-22.81,,,633
5293.99,-21.37,,,634
5328.66,-20.85,,,635
5372.38,-20.2,,,636
5402.41,-19.76,,,637
5437.61,-19.23,,,638
5397.86,-19.82,,,639
5412.88,-19.6,,,640
